codigoParadero,latitud,longitud
PA1,-33.4401168,-70.6800210
PA10,-33.4667599,-70.6716279
PA100,-33.4740479,-70.6419304
PA101,-33.4719834,-70.6420359
PA102,-33.4686134,-70.6422349
PA103,-33.4646375,-70.6424061
PA104,-33.4608829,-70.6428511
PA105,-33.4576574,-70.6432669
PA106,-33.4521094,-70.6440989
PA107,-33.4498544,-70.6444810
PA108,-33.4466856,-70.6451458
PA109,-33.4430685,-70.6461110
PA11,-33.4626768,-70.6725218
PA111,-33.4384254,-70.6468991
PA112,-33.4361114,-70.6472506
PA114,-33.4395915,-70.6467112
PA116,-33.4441736,-70.6430899
PA117,-33.4473350,-70.6423944
PA118,-33.4496744,-70.6416880
PA119,-33.4524814,-70.6408930
PA12,-33.4587367,-70.6734725
PA120,-33.4543425,-70.6404482
PA121,-33.4571185,-70.6397329
PA122,-33.4604505,-70.6388198
PA123,-33.4633085,-70.6380529
PA124,-33.4658993,-70.6373657
PA125,-33.4682385,-70.6367420
PA126,-33.4721775,-70.6357059
PA127,-33.4724726,-70.6328419
PA128,-33.4684191,-70.6339019
PA129,-33.4659558,-70.6345779
PA13,-33.4561080,-70.6740701
PA130,-33.4634995,-70.6352389
PA131,-33.4602718,-70.6361318
PA132,-33.4573747,-70.6367843
PA133,-33.4548455,-70.6373272
PA134,-33.4524265,-70.6378889
PA135,-33.4493763,-70.6389000
PA136,-33.4470961,-70.6396315
PA137,-33.4462199,-70.6438673
PA139,-33.4517539,-70.6467987
PA14,-33.4529038,-70.6748379
PA140,-33.4547017,-70.6463711
PA141,-33.4583991,-70.6454879
PA142,-33.4614671,-70.6449755
PA143,-33.4649074,-70.6445573
PA144,-33.4701084,-70.6440149
PA145,-33.4728618,-70.6438583
PA146,-33.4750123,-70.6418997
PA147,-33.4727023,-70.6419834
PA148,-33.4697705,-70.6421617
PA149,-33.4659661,-70.6423054
PA15,-33.4504473,-70.6754353
PA150,-33.4615561,-70.6427738
PA151,-33.4586461,-70.6431185
PA152,-33.4536314,-70.6438739
PA153,-33.4508724,-70.6442970
PA154,-33.4472874,-70.6449869
PA155,-33.4393836,-70.6442110
PA156,-33.4418414,-70.6463615
PA158,-33.4331053,-70.6525079
PA159,-33.4373051,-70.6471426
PA16,-33.4504758,-70.6784320
PA160,-33.4347398,-70.6474564
PA161,-33.4332593,-70.6483226
PA163,-33.4489300,-70.6708170
PA164,-33.4478576,-70.6667820
PA165,-33.4467361,-70.6611000
PA166,-33.4460232,-70.6580010
PA167,-33.4441217,-70.6508619
PA168,-33.4425400,-70.6445090
PA169,-33.4403879,-70.6405870
PA17,-33.4724371,-70.6550881
PA170,-33.4381175,-70.6363100
PA171,-33.4402167,-70.6346554
PA172,-33.4429597,-70.6336102
PA174,-33.4482086,-70.6320379
PA176,-33.4528257,-70.6306429
PA177,-33.4551292,-70.6300578
PA179,-33.4625849,-70.6277764
PA18,-33.4705928,-70.6558725
PA181,-33.4670697,-70.6266219
PA182,-33.4425847,-70.6459740
PA183,-33.4437933,-70.6512749
PA184,-33.4446123,-70.6553757
PA185,-33.4459511,-70.6611000
PA186,-33.4485679,-70.6713200
PA187,-33.4474109,-70.6670388
PA19,-33.4702703,-70.6525170
PA195,-33.4366767,-70.6486600
PA196,-33.4495388,-70.6533319
PA197,-33.4519929,-70.6529333
PA198,-33.4494626,-70.6506694
PA199,-33.4535495,-70.6340400
PA2,-33.4481482,-70.6781113
PA20,-33.4681763,-70.6523080
PA200,-33.4560439,-70.6316345
PA202,-33.4652876,-70.6306300
PA203,-33.4657325,-70.6344240
PA204,-33.4661205,-70.6379880
PA205,-33.4665534,-70.6420339
PA206,-33.4641104,-70.6412779
PA207,-33.4637085,-70.6383099
PA208,-33.4633545,-70.6355290
PA209,-33.4627396,-70.6318200
PA21,-33.4653893,-70.6526500
PA210,-33.4619603,-70.6285360
PA212,-33.4477489,-70.6540147
PA213,-33.4470242,-70.6550809
PA214,-33.4318774,-70.6572936
PA215,-33.4451292,-70.6543909
PA218,-33.4426437,-70.6559750
PA219,-33.4402754,-70.6564564
PA22,-33.4628823,-70.6529589
PA220,-33.4370922,-70.6569110
PA221,-33.4339732,-70.6530630
PA222,-33.4356446,-70.6782185
PA223,-33.4351264,-70.6740671
PA224,-33.4350535,-70.6712340
PA225,-33.4349351,-70.6680564
PA226,-33.4347501,-70.6635650
PA228,-33.4354871,-70.6606669
PA229,-33.4366629,-70.6604878
PA23,-33.4589202,-70.6534710
PA230,-33.4409951,-70.6603290
PA231,-33.4442731,-70.6610589
PA232,-33.4471321,-70.6606629
PA233,-33.4487841,-70.6601856
PA234,-33.4609643,-70.6573703
PA235,-33.4671881,-70.6560386
PA236,-33.4648852,-70.6561520
PA237,-33.4629112,-70.6562469
PA238,-33.4608810,-70.6563389
PA239,-33.4568017,-70.6566075
PA24,-33.4562562,-70.6537620
PA240,-33.4548452,-70.6574059
